,target,model,embedding_time,matching_time,query_num_features,active_ligands,inactive_ligands,active_conformations,inactive_conformations,alignment_time,auroc_comparison,order_embedding_auroc,order_embedding_ef0.005,order_embedding_ef0.01,order_embedding_ef0.05,cdpkit_auroc,cdpkit_ef0.005,cdpkit_ef0.01,cdpkit_ef0.05
0,ANDR,239,10.242369174957275,0.03416180610656738,6,94,4948,871,61416,25.26522015995579,0.9767559136153858,0.6814337191902164,21.276596069335938,11.702127456665039,5.319148540496826,0.7798218493610141,19.148935317993164,14.893616676330566,5.957446575164795
1,THRB,239,6.961627960205078,0.0647575855255127,7,46,2642,1114,55651,20.70539496000856,0.941093675659483,0.757002271006813,4.3478264808654785,4.3478264808654785,5.65217399597168,0.8227421584438667,21.739131927490234,21.739131927490234,7.3913044929504395
2,ADA,239,6.183309316635132,0.0622248649597168,7,59,3299,1390,49727,20.941115349996835,0.91710567720041,0.8373980815963749,6.779661178588867,8.474576950073242,8.474575996398926,0.9477859238289981,54.23728942871094,47.4576301574707,16.61016845703125
3,PLK1,239,4.279263973236084,0.05276131629943848,5,43,2150,947,33927,8.37119828001596,0.7022977492986837,0.6157057869118443,0.0,0.0,0.0,0.7483071930773392,0.0,4.651163101196289,6.976743698120117
4,UROK,239,8.56201720237732,0.07230353355407715,6,78,4482,1467,74747,17.839062890037894,0.7095301428761519,0.721853224865273,0.0,1.2820513248443604,1.7948718070983887,0.9453998329500338,35.897438049316406,26.923078536987305,12.820512771606445
5,FA10,239,2.8969428539276123,0.04716920852661133,5,25,1296,597,26306,6.109533449984156,0.6774704024640906,0.5680555555555555,0.0,0.0,0.800000011920929,0.7777469135802468,0.0,8.0,3.200000047683716
6,SRC,239,8.3999605178833,0.06623077392578125,5,68,4046,1030,60210,11.846248389978427,0.9679666723611697,0.7057296967229799,8.823529243469238,4.411764621734619,4.7058820724487305,0.6919215783199093,8.823529243469238,7.352941036224365,2.3529410362243652
7,EGFR,239,6.242905855178833,0.06332135200500488,6,74,4245,1270,53327,24.03773211000953,0.8779476984270603,0.7391366631649318,0.0,2.702702760696411,4.324324131011963,0.7437621366949989,10.810811042785645,8.108107566833496,3.5135135650634766
8,KIT,239,4.788408517837524,0.07081961631774902,6,48,2598,869,37914,18.074694110022392,0.8693034088028647,0.6826765781370284,0.0,0.0,1.6666666269302368,0.6861046959199384,0.0,2.0833334922790527,1.6666666269302368
9,ACES,239,10.068061113357544,0.07113432884216309,5,92,4927,1538,75809,12.560462119989097,0.9175801372018677,0.6166376929254065,4.3478264808654785,2.1739132404327393,1.3043478727340698,0.60482390730756,2.1739132404327393,1.0869566202163696,1.95652174949646
